"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/06/2025","77,35","77,00","77,95","76,70","93,57K","0,06%"
"26/06/2025","77,30","77,45","77,70","76,60","57,64K","0,65%"
"25/06/2025","76,80","78,00","78,35","76,75","72,94K","-1,48%"
"24/06/2025","77,95","78,50","78,95","77,90","82,91K","-0,19%"
"23/06/2025","78,10","77,10","78,65","77,10","72,69K","0,45%"
"20/06/2025","77,75","76,10","78,15","76,10","184,62K","1,63%"
"19/06/2025","76,50","76,90","77,10","76,25","50,19K","-0,91%"
"18/06/2025","77,20","76,25","77,25","75,90","82,08K","0,98%"
"17/06/2025","76,45","75,50","76,45","75,50","90,71K","-0,07%"
"16/06/2025","76,50","76,00","76,55","75,75","70,89K","-0,39%"
"13/06/2025","76,80","77,40","77,50","76,25","46,99K","-1,29%"
"12/06/2025","77,80","78,40","78,40","77,60","127,23K","-0,70%"
"11/06/2025","78,35","78,60","78,85","78,15","124,05K","-0,76%"
"10/06/2025","78,95","78,70","79,10","78,55","183,66K","0,38%"
"09/06/2025","78,65","77,55","78,80","77,55","120,59K","1,42%"
"06/06/2025","77,55","76,55","77,70","76,55","131,16K","0,98%"
"05/06/2025","76,80","76,25","77,25","76,05","153,66K","0,46%"
"04/06/2025","76,45","75,95","77,35","75,10","214,89K","-1,23%"
"03/06/2025","77,40","77,65","78,40","76,45","319,73K","2,99%"
"02/06/2025","75,15","75,80","76,25","75,15","92,02K","-0,86%"
"30/05/2025","75,80","76,85","77,35","75,80","102,88K","-1,11%"
"29/05/2025","76,65","75,95","76,90","75,80","52,20K","0,92%"
"28/05/2025","75,95","75,45","76,55","75,45","113,21K","1,06%"
"27/05/2025","75,15","75,35","75,85","74,70","82,30K","-0,07%"
"26/05/2025","75,20","74,60","75,35","74,60","53,05K","0,53%"
"23/05/2025","74,80","74,00","74,90","73,60","71,78K","1,49%"
"22/05/2025","73,70","74,50","74,85","73,70","95,06K","-1,54%"
"21/05/2025","74,85","75,00","75,55","74,65","68,71K","-1,19%"
"20/05/2025","75,75","74,45","76,15","74,35","109,50K","2,16%"
"19/05/2025","74,15","73,60","74,85","73,20","123,27K","-5,60%"
"16/05/2025","78,55","77,80","78,80","77,60","175,35K","1,55%"
"15/05/2025","77,35","76,40","77,75","75,90","130,40K","1,78%"
"14/05/2025","76,00","76,40","76,95","76,00","87,04K","-0,52%"
"13/05/2025","76,40","76,00","77,50","75,60","210,82K","0,79%"
"12/05/2025","75,80","77,15","77,15","75,35","107,73K","-2,26%"
"09/05/2025","77,55","76,10","77,55","76,10","184,70K","0,45%"
"08/05/2025","77,20","77,50","78,30","76,85","112,03K","-1,47%"
"07/05/2025","78,35","78,70","79,20","78,05","121,82K","-0,70%"
"06/05/2025","78,90","78,90","79,55","78,25","203,85K","-0,69%"
"05/05/2025","79,45","77,50","79,45","77,00","286,55K","2,06%"
"02/05/2025","77,85","71,20","79,40","71,20","1,20M","10,43%"
"30/04/2025","70,50","66,85","70,70","66,70","211,87K","5,46%"
"29/04/2025","66,85","65,85","67,40","65,85","153,47K","1,44%"
"28/04/2025","65,90","65,80","65,90","64,35","106,33K","0,30%"
"25/04/2025","65,70","64,00","66,15","64,00","113,95K","1,62%"
"24/04/2025","64,65","64,95","65,15","64,20","80,36K","0,31%"
"23/04/2025","64,45","65,40","65,50","64,10","150,52K","-1,07%"
"22/04/2025","65,15","64,75","65,55","64,40","125,16K","1,32%"
"17/04/2025","64,30","63,35","64,50","63,20","90,06K","1,02%"
"16/04/2025","63,65","61,45","63,90","61,30","180,06K","4,00%"
"15/04/2025","61,20","60,25","61,20","60,15","128,05K","1,66%"
"14/04/2025","60,20","59,90","60,20","59,30","135,90K","2,29%"
"11/04/2025","58,85","59,00","59,15","58,15","146,58K","0,09%"
"10/04/2025","58,80","60,95","60,95","58,45","101,60K","3,16%"
"09/04/2025","57,00","58,00","58,25","56,40","99,32K","-3,47%"
"08/04/2025","59,05","59,00","60,05","58,00","101,79K","1,90%"
"07/04/2025","57,95","57,75","60,05","56,25","167,70K","-1,95%"
"04/04/2025","59,10","61,40","62,55","58,95","140,58K","-4,75%"
"03/04/2025","62,05","59,10","62,35","59,00","174,18K","4,64%"
"02/04/2025","59,30","60,50","60,70","59,10","103,32K","-2,39%"
"01/04/2025","60,75","60,90","61,25","60,55","45,12K","-0,49%"
"31/03/2025","61,05","61,60","61,60","60,60","78,36K","-0,41%"
"28/03/2025","61,30","60,80","62,05","60,80","97,61K","1,16%"
"27/03/2025","60,60","61,50","61,55","60,60","83,17K","-0,82%"
"26/03/2025","61,10","61,00","61,10","60,60","49,64K","0,41%"
"25/03/2025","60,85","61,20","61,60","60,80","59,92K","-0,41%"
"24/03/2025","61,10","62,20","62,40","60,80","65,81K","-0,33%"
"21/03/2025","61,30","61,30","61,65","61,15","152,23K","-0,41%"
"20/03/2025","61,55","62,50","62,60","61,35","61,23K","-0,89%"
"19/03/2025","62,10","62,50","62,65","61,80","71,39K","-0,16%"
"18/03/2025","62,20","62,50","62,65","61,95","69,74K","-0,24%"
"17/03/2025","62,35","61,35","62,35","61,30","83,39K","1,88%"
"14/03/2025","61,20","61,00","61,45","60,70","62,71K","0,49%"
"13/03/2025","60,90","61,40","61,70","60,50","60,60K","-0,98%"
"12/03/2025","61,50","60,15","61,90","60,15","101,13K","2,16%"
"11/03/2025","60,20","60,00","61,20","59,90","98,56K","0,08%"
"10/03/2025","60,15","59,60","60,75","59,35","129,80K","1,69%"
"07/03/2025","59,15","58,05","59,20","57,90","90,56K","2,34%"
"06/03/2025","57,80","57,50","57,85","56,60","142,11K","0,61%"
"05/03/2025","57,45","58,85","59,25","57,40","83,75K","-3,61%"
"04/03/2025","59,60","58,55","59,85","58,45","62,54K","2,05%"
"03/03/2025","58,40","59,00","59,20","57,85","78,12K","-1,02%"
