"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/06/2025","41,96","41,85","41,98","41,58","3,60M","0,89%"
"26/06/2025","41,59","42,00","42,00","41,58","3,16M","-0,41%"
"25/06/2025","41,76","42,01","42,17","41,76","3,61M","-0,29%"
"24/06/2025","41,88","42,58","42,87","41,88","4,49M","0,36%"
"23/06/2025","41,73","42,17","42,55","41,73","3,79M","-2,04%"
"20/06/2025","42,60","41,82","42,88","41,77","14,43M","2,45%"
"19/06/2025","41,58","41,56","41,83","41,51","3,59M","-0,43%"
"18/06/2025","41,76","41,82","42,13","41,69","4,05M","0,31%"
"17/06/2025","41,63","41,64","41,78","41,39","3,13M","-0,88%"
"16/06/2025","42,00","41,60","42,06","41,52","4,01M","0,91%"
"13/06/2025","41,62","41,30","41,68","41,18","5,47M","-0,62%"
"12/06/2025","41,88","41,91","42,07","41,59","3,06M","-0,52%"
"11/06/2025","42,10","42,15","42,38","42,06","3,69M","-0,24%"
"10/06/2025","42,20","42,48","42,54","42,04","4,57M","-0,45%"
"09/06/2025","42,39","42,96","42,98","42,39","4,62M","-0,75%"
"06/06/2025","42,71","42,50","42,89","42,36","3,64M","0,49%"
"05/06/2025","42,50","42,21","42,71","42,17","3,90M","0,35%"
"04/06/2025","42,35","42,37","42,46","42,21","4,17M","0,52%"
"03/06/2025","42,13","41,90","42,36","41,80","5,56M","0,57%"
"02/06/2025","41,89","41,50","41,94","41,37","3,63M","0,92%"
"30/05/2025","41,51","41,65","41,90","41,46","7,79M","0,12%"
"29/05/2025","41,46","41,33","41,56","41,13","2,66M","0,95%"
"28/05/2025","41,07","41,45","41,46","40,99","3,04M","-0,61%"
"27/05/2025","41,32","41,21","41,44","41,12","1,84M","0,05%"
"26/05/2025","41,30","41,52","41,55","41,10","2,32M","0,81%"
"23/05/2025","40,97","41,61","41,66","40,41","4,68M","-1,44%"
"22/05/2025","41,57","41,72","41,75","41,24","3,12M","-0,29%"
"21/05/2025","41,69","41,62","41,85","41,44","3,74M","0,19%"
"20/05/2025","41,61","41,83","41,89","41,51","3,01M","-0,14%"
"19/05/2025","41,67","41,39","41,67","41,32","3,23M","1,02%"
"16/05/2025","41,25","40,83","41,43","40,83","4,78M","1,20%"
"15/05/2025","40,76","40,40","40,85","40,37","3,43M","0,25%"
"14/05/2025","40,66","40,43","40,72","40,34","3,53M","0,44%"
"13/05/2025","40,48","40,50","40,79","40,35","3,40M","-0,52%"
"12/05/2025","40,69","41,74","42,23","40,42","5,30M","-2,35%"
"09/05/2025","41,67","41,20","41,74","41,19","5,49M","1,34%"
"08/05/2025","41,12","40,88","41,20","40,72","4,68M","1,16%"
"07/05/2025","40,65","40,69","41,00","40,54","5,36M","-0,68%"
"06/05/2025","40,93","41,11","41,22","40,67","3,74M","-0,49%"
"05/05/2025","41,13","40,32","41,36","40,28","4,47M","-2,83%"
"02/05/2025","42,33","42,00","42,60","41,82","6,27M","1,83%"
"30/04/2025","41,57","41,58","41,76","41,32","6,45M","0,61%"
"29/04/2025","41,32","41,16","41,49","40,93","5,55M","0,93%"
"28/04/2025","40,94","40,87","41,14","40,68","5,19M","0,91%"
"25/04/2025","40,57","40,54","40,84","40,28","3,62M","0,85%"
"24/04/2025","40,23","40,37","40,58","40,13","2,88M","-0,25%"
"23/04/2025","40,33","40,50","40,50","39,99","4,57M","0,72%"
"22/04/2025","40,04","39,55","40,16","39,51","4,27M","1,34%"
"17/04/2025","39,51","39,07","39,71","39,04","4,45M","0,89%"
"16/04/2025","39,16","38,82","39,21","38,53","3,37M","0,72%"
"15/04/2025","38,88","38,19","38,99","38,10","4,57M","2,05%"
"14/04/2025","38,10","38,02","38,46","37,91","4,39M","2,61%"
"11/04/2025","37,13","37,64","37,91","36,81","5,05M","-0,19%"
"10/04/2025","37,20","37,11","38,05","36,70","10,30M","5,14%"
"09/04/2025","35,38","35,69","36,25","34,83","8,00M","-2,88%"
"08/04/2025","36,43","35,96","37,10","35,51","7,45M","3,52%"
"07/04/2025","35,19","35,00","36,97","34,00","14,29M","-6,33%"
"04/04/2025","37,57","39,37","39,54","37,09","11,49M","-5,44%"
"03/04/2025","39,73","39,69","40,09","39,43","6,10M","-1,66%"
"02/04/2025","40,40","40,14","40,51","40,00","4,39M","1,00%"
"01/04/2025","40,00","39,48","40,02","39,43","4,17M","1,52%"
"31/03/2025","39,40","39,64","39,84","39,24","5,79M","-1,48%"
"28/03/2025","39,99","40,00","40,24","39,88","3,97M","-0,27%"
"27/03/2025","40,10","39,75","40,17","39,60","3,15M","0,10%"
"26/03/2025","40,06","40,27","40,40","39,90","3,87M","-0,20%"
"25/03/2025","40,14","39,71","40,25","39,68","4,70M","1,41%"
"24/03/2025","39,58","39,73","39,97","39,51","3,38M","0,18%"
"21/03/2025","39,51","39,41","39,64","39,24","6,79M","-0,33%"
"20/03/2025","39,64","39,82","39,91","39,13","2,86M","-0,50%"
"19/03/2025","39,84","39,72","40,11","39,71","4,94M","-0,18%"
"18/03/2025","39,91","39,31","39,94","39,27","5,33M","1,66%"
"17/03/2025","39,26","38,57","39,28","38,56","4,77M","1,11%"
"14/03/2025","38,83","38,61","39,20","38,53","4,33M","0,18%"
"13/03/2025","38,76","38,69","39,02","38,65","3,91M","-0,15%"
"12/03/2025","38,82","38,45","39,08","38,41","4,69M","2,08%"
"11/03/2025","38,03","38,61","38,67","37,59","5,54M","-1,27%"
"10/03/2025","38,52","39,00","39,05","38,47","5,29M","-0,62%"
"07/03/2025","38,76","38,52","38,95","38,33","5,27M","0,28%"
"06/03/2025","38,65","38,52","38,91","38,12","5,77M","0,86%"
"05/03/2025","38,32","38,65","38,77","38,32","5,45M","0,95%"
"04/03/2025","37,96","37,80","37,99","37,59","4,39M","-0,50%"
"03/03/2025","38,15","37,64","38,46","37,23","5,25M","1,90%"
"28/02/2025","37,44","37,60","37,63","36,92","7,16M","-0,72%"
"27/02/2025","37,71","38,18","38,21","37,15","4,76M","-1,39%"
"26/02/2025","38,24","37,73","38,28","37,60","4,67M","1,84%"
"25/02/2025","37,55","37,00","37,73","36,96","3,40M","1,21%"
"24/02/2025","37,10","37,12","37,18","36,91","2,97M","0,32%"
"21/02/2025","36,98","36,85","37,10","36,70","3,65M","0,38%"
"20/02/2025","36,84","36,81","37,11","36,74","2,80M","0,19%"
"19/02/2025","36,77","37,51","37,65","36,64","3,88M","-2,03%"
"18/02/2025","37,53","37,63","37,68","37,37","3,41M","-0,16%"
"17/02/2025","37,59","37,56","37,82","37,47","2,99M","0,16%"
"14/02/2025","37,53","37,84","37,92","37,32","4,00M","-1,24%"
"13/02/2025","38,00","38,14","38,28","38,00","3,25M","-0,08%"
"12/02/2025","38,03","38,04","38,24","38,00","4,01M","0,08%"
"11/02/2025","38,00","37,76","38,09","37,66","2,74M","0,69%"
"10/02/2025","37,74","37,62","37,80","37,52","2,71M","0,48%"
"07/02/2025","37,56","37,58","37,71","37,49","2,80M","0,48%"
"06/02/2025","37,38","37,11","37,55","37,04","6,54M","1,16%"
"05/02/2025","36,95","36,91","37,01","36,72","3,11M","-0,30%"
"04/02/2025","37,06","36,50","37,14","36,37","4,14M","1,90%"
"03/02/2025","36,37","36,05","36,46","36,01","3,72M","-0,76%"
"31/01/2025","36,65","36,72","37,00","36,58","5,13M","-0,11%"
"30/01/2025","36,69","36,57","36,82","36,42","3,91M","0,58%"
"29/01/2025","36,48","36,60","36,78","36,32","2,98M","-0,52%"
"28/01/2025","36,67","36,23","36,81","36,12","3,37M","0,88%"
"27/01/2025","36,35","35,98","36,62","35,94","6,31M","1,25%"
"24/01/2025","35,90","36,10","36,26","35,89","4,17M","-0,61%"
"23/01/2025","36,12","35,87","36,21","35,75","4,24M","1,12%"
"22/01/2025","35,72","35,22","35,96","35,22","4,88M","1,33%"
"21/01/2025","35,25","35,30","35,52","35,13","3,84M","-0,25%"
"20/01/2025","35,34","35,30","35,52","35,26","3,31M","-0,06%"
