"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"26/06/2025","30,43","30,48","30,48","30,33","0,67K","-2,67%"
"25/06/2025","31,26","31,26","31,26","31,26","0,14K","0,22%"
"24/06/2025","31,19","31,19","31,19","31,19","0,16K","1,51%"
"23/06/2025","30,73","30,70","30,73","30,70","0,39K","-1,03%"
"20/06/2025","31,05","31,05","31,05","31,05","0,03K","-1,91%"
"17/06/2025","31,66","31,89","32,01","31,66","0,89K","-0,05%"
"13/06/2025","31,67","31,61","31,67","31,61","0,07K","-0,83%"
"12/06/2025","31,93","31,93","31,93","31,93","0,01K","-0,39%"
"11/06/2025","32,06","32,29","32,32","32,05","0,98K","-0,77%"
"10/06/2025","32,31","32,30","32,31","32,21","1,32K","0,22%"
"09/06/2025","32,24","32,24","32,24","32,24","0,15K","0,12%"
"06/06/2025","32,20","32,78","32,87","32,20","0,48K","-1,60%"
"05/06/2025","32,72","32,58","32,72","32,58","1,29K","-0,53%"
"04/06/2025","32,90","32,57","32,97","32,57","2,02K","1,50%"
"03/06/2025","32,42","32,31","32,51","32,20","1,16K","-0,17%"
"02/06/2025","32,47","32,69","32,69","32,47","0,50K","-1,59%"
"30/05/2025","32,99","33,17","33,21","32,97","1,67K","-0,71%"
"29/05/2025","33,23","33,80","33,82","33,23","3,18K","-0,97%"
"28/05/2025","33,56","33,58","33,65","33,46","1,57K","-0,09%"
"27/05/2025","33,58","33,59","33,59","33,58","2,60K","0,77%"
"26/05/2025","33,33","33,54","33,56","33,28","1,38K","-0,58%"
"23/05/2025","33,53","34,26","34,26","33,15","5,94K","-1,28%"
"22/05/2025","33,96","33,77","33,96","33,63","1,00K","-0,41%"
"21/05/2025","34,10","33,72","34,10","33,72","5,41K","0,59%"
"20/05/2025","33,90","34,03","34,38","33,90","3,61K","0,25%"
"19/05/2025","33,81","33,87","33,90","33,77","3,47K","0,18%"
"16/05/2025","33,76","34,19","34,19","33,65","10,86K","-0,09%"
"15/05/2025","33,78","33,93","34,01","33,68","9,58K","-0,95%"
"14/05/2025","34,11","34,12","34,12","34,11","0,09K","-0,60%"
"13/05/2025","34,31","34,22","34,31","34,05","3,17K","0,78%"
"12/05/2025","34,05","34,16","34,49","33,75","5,70K","1,41%"
"09/05/2025","33,58","33,67","33,81","33,58","3,87K","0,87%"
"08/05/2025","33,28","33,31","33,33","33,28","0,65K","0,44%"
"07/05/2025","33,14","33,06","33,20","33,03","1,04K","0,30%"
"06/05/2025","33,04","33,12","33,12","33,04","0,33K","-0,68%"
"05/05/2025","33,26","33,30","33,33","33,26","2,20K","-0,24%"
"02/05/2025","33,35","33,44","33,45","33,33","3,87K","2,02%"
"30/04/2025","32,69","32,56","32,69","32,21","0,67K","1,13%"
"29/04/2025","32,32","32,27","32,62","32,22","5,00K","1,08%"
"28/04/2025","31,98","32,71","32,71","31,98","0,97K","-1,89%"
"25/04/2025","32,59","31,99","32,69","31,96","4,50K","1,62%"
"24/04/2025","32,07","30,89","32,35","30,80","7,04K","-5,66%"
"23/04/2025","33,99","33,88","34,28","33,80","6,03K","3,08%"
"22/04/2025","32,98","32,60","32,99","32,42","4,21K","0,38%"
"17/04/2025","32,85","33,14","33,21","32,79","4,03K","-1,01%"
"15/04/2025","33,19","33,29","33,31","33,19","0,75K","1,19%"
"14/04/2025","32,80","32,94","33,07","32,80","1,33K","3,86%"
"11/04/2025","31,58","32,43","32,43","31,38","2,25K","-5,05%"
"10/04/2025","33,26","33,69","33,74","33,26","2,68K","4,28%"
"09/04/2025","31,90","32,02","32,27","31,84","6,13K","-2,31%"
"08/04/2025","32,65","32,71","32,71","32,65","0,39K","2,45%"
"07/04/2025","31,87","30,90","33,40","30,69","3,31K","-5,06%"
"04/04/2025","33,57","33,05","33,66","33,00","1,28K","-0,84%"
"03/04/2025","33,85","34,65","34,65","33,85","1,72K","-4,62%"
"02/04/2025","35,49","35,40","35,49","35,22","3,12K","1,21%"
"01/04/2025","35,07","35,62","35,62","34,79","6,08K","0,13%"
"31/03/2025","35,03","35,92","35,92","35,01","3,87K","-3,80%"
"28/03/2025","36,41","36,42","36,58","36,37","1,47K","-1,66%"
