"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/06/2025","4,8780","4,8340","4,8780","4,8065","35,14M","1,40%"
"26/06/2025","4,8105","4,8450","4,8645","4,7935","43,91M","-0,44%"
"25/06/2025","4,8320","4,8870","4,8870","4,8025","42,17M","-0,71%"
"24/06/2025","4,8665","4,8600","4,8930","4,8300","52,06M","2,36%"
"23/06/2025","4,7545","4,7875","4,8140","4,7330","58,10M","-1,19%"
"20/06/2025","4,8120","4,7680","4,8525","4,7640","78,91M","1,31%"
"19/06/2025","4,7500","4,8000","4,8225","4,7500","40,93M","-1,49%"
"18/06/2025","4,8220","4,8100","4,8415","4,7920","34,85M","0,44%"
"17/06/2025","4,8010","4,8985","4,9030","4,7950","52,72M","-2,70%"
"16/06/2025","4,9340","4,8280","4,9415","4,8280","54,01M","2,35%"
"13/06/2025","4,8205","4,7800","4,8455","4,7720","86,36M","-0,81%"
"12/06/2025","4,8600","4,8530","4,9080","4,8330","55,72M","-0,60%"
"11/06/2025","4,8895","4,8775","4,9190","4,8555","48,77M","0,18%"
"10/06/2025","4,8805","5,0060","5,0170","4,8805","79,25M","-2,60%"
"09/06/2025","5,0110","5,0080","5,0400","4,9880","38,16M","-0,18%"
"06/06/2025","5,0200","4,9400","5,0300","4,9170","70,64M","1,46%"
"05/06/2025","4,9480","4,8510","4,9480","4,8510","62,42M","1,63%"
"04/06/2025","4,8685","4,9100","4,9295","4,8310","62,48M","-0,47%"
"03/06/2025","4,8915","4,9145","4,9240","4,8215","66,00M","-0,19%"
"02/06/2025","4,9010","4,8975","4,9255","4,8515","57,00M","-0,18%"
"30/05/2025","4,9100","4,8600","4,9145","4,8535","79,19M","1,22%"
"29/05/2025","4,8510","4,8810","4,9100","4,8220","44,08M","0,17%"
"28/05/2025","4,8430","4,8435","4,8920","4,8390","49,92M","-0,04%"
"27/05/2025","4,8450","4,8380","4,8635","4,8080","42,19M","0,24%"
"26/05/2025","4,8335","4,8690","4,8735","4,8115","37,67M","1,72%"
"23/05/2025","4,7520","4,9175","4,9420","4,6965","111,16M","-3,49%"
"22/05/2025","4,9240","4,9390","4,9425","4,8870","45,73M","-0,55%"
"21/05/2025","4,9510","4,9405","4,9580","4,9005","54,40M","0,57%"
"20/05/2025","4,9230","4,8800","4,9340","4,8700","55,34M","1,28%"
"19/05/2025","4,8610","4,8395","4,9010","4,8220","58,47M","-2,32%"
"16/05/2025","4,9765","4,9820","4,9820","4,9320","72,75M","0,03%"
"15/05/2025","4,9750","4,9375","4,9800","4,9210","67,97M","0,41%"
"14/05/2025","4,9545","4,9000","4,9545","4,8720","63,43M","1,40%"
"13/05/2025","4,8860","4,8870","4,9135","4,8625","44,69M","0,03%"
"12/05/2025","4,8845","4,9000","4,9765","4,8480","90,92M","0,62%"
"09/05/2025","4,8545","4,8225","4,8700","4,8075","71,56M","0,87%"
"08/05/2025","4,8125","4,7005","4,8125","4,6945","64,16M","3,08%"
"07/05/2025","4,6685","4,7760","4,7760","4,6685","64,47M","-1,99%"
"06/05/2025","4,7635","4,8150","4,8260","4,6785","81,61M","-0,78%"
"05/05/2025","4,8010","4,7800","4,8020","4,7400","43,23M","0,98%"
"02/05/2025","4,7545","4,7400","4,7855","4,7240","65,81M","1,55%"
"30/04/2025","4,6820","4,7920","4,8115","4,5935","112,03M","-1,54%"
"29/04/2025","4,7550","4,7150","4,7690","4,7065","64,00M","1,33%"
"28/04/2025","4,6925","4,6995","4,7340","4,6790","51,79M","0,59%"
"25/04/2025","4,6650","4,5920","4,6715","4,5715","51,98M","2,36%"
"24/04/2025","4,5575","4,5215","4,5830","4,5115","54,55M","0,33%"
"23/04/2025","4,5425","4,4940","4,5515","4,4540","89,78M","2,79%"
"22/04/2025","4,4190","4,3615","4,4615","4,3510","52,06M","1,39%"
"17/04/2025","4,3585","4,3990","4,4095","4,3180","52,80M","-0,86%"
"16/04/2025","4,3965","4,3130","4,3970","4,2925","63,96M","0,93%"
"15/04/2025","4,3560","4,2450","4,3710","4,2450","93,74M","2,89%"
"14/04/2025","4,2335","4,2245","4,2680","4,1880","81,49M","2,63%"
"11/04/2025","4,1250","4,2000","4,2185","4,0435","72,46M","-0,18%"
"10/04/2025","4,1325","4,5000","4,5150","4,1325","142,72M","5,77%"
"09/04/2025","3,9070","3,8400","3,9355","3,8125","122,14M","-2,20%"
"08/04/2025","3,9950","4,0095","4,0665","3,8320","131,76M","2,44%"
"07/04/2025","3,9000","3,7375","4,1205","3,6615","234,38M","-5,56%"
"04/04/2025","4,1295","4,3895","4,3935","3,9740","259,49M","-7,31%"
"03/04/2025","4,4550","4,6820","4,6825","4,4480","114,72M","-6,96%"
"02/04/2025","4,7885","4,7895","4,8150","4,7200","43,85M","-0,05%"
"01/04/2025","4,7910","4,7775","4,8170","4,7415","70,55M","1,20%"
"31/03/2025","4,7340","4,7925","4,8000","4,7115","86,96M","-1,82%"
"28/03/2025","4,8220","4,8740","4,8865","4,8020","66,56M","-1,93%"
"27/03/2025","4,9170","4,8630","4,9195","4,8075","68,41M","0,31%"
"26/03/2025","4,9020","4,9640","4,9985","4,8945","67,90M","-0,77%"
"25/03/2025","4,9400","4,8510","4,9440","4,8500","62,35M","2,20%"
"24/03/2025","4,8335","4,8655","4,8780","4,8210","76,55M","0,12%"
"21/03/2025","4,8275","4,7825","4,8365","4,7570","118,92M","0,49%"
"20/03/2025","4,8040","4,9570","4,9675","4,7640","102,43M","-2,91%"
"19/03/2025","4,9480","4,9105","4,9740","4,9010","56,24M","0,18%"
"18/03/2025","4,9390","4,8500","4,9390","4,8410","82,46M","2,26%"
"17/03/2025","4,8300","4,8005","4,8300","4,7630","40,70M","0,61%"
"14/03/2025","4,8005","4,7110","4,8150","4,6660","59,37M","1,73%"
"13/03/2025","4,7190","4,7260","4,7855","4,6855","57,06M","-1,05%"
"12/03/2025","4,7690","4,7550","4,8200","4,7300","57,42M","1,71%"
"11/03/2025","4,6890","4,8185","4,8250","4,6645","77,42M","-2,11%"
"10/03/2025","4,7900","4,9200","4,9475","4,7610","89,25M","-2,14%"
"07/03/2025","4,8945","4,8260","4,9015","4,8035","94,48M","0,65%"
"06/03/2025","4,8630","4,9000","4,9110","4,8075","103,17M","0,59%"
"05/03/2025","4,8345","4,7700","4,8890","4,7280","114,18M","3,67%"
"04/03/2025","4,6635","4,7690","4,8150","4,6145","106,99M","-2,94%"
"03/03/2025","4,8050","4,7500","4,8500","4,6875","83,94M","1,52%"
"28/02/2025","4,7330","4,7380","4,7530","4,7090","120,53M","-0,41%"
"27/02/2025","4,7525","4,7325","4,7990","4,7170","87,71M","-0,36%"
"26/02/2025","4,7695","4,6435","4,7895","4,6350","115,02M","3,34%"
"25/02/2025","4,6155","4,5300","4,6320","4,5180","92,52M","1,82%"
"24/02/2025","4,5330","4,5125","4,5510","4,4720","51,99M","0,28%"
"21/02/2025","4,5205","4,5075","4,5205","4,4765","49,63M","0,70%"
"20/02/2025","4,4890","4,5100","4,5530","4,4845","53,10M","-0,49%"
"19/02/2025","4,5110","4,5565","4,5940","4,5005","86,81M","-0,92%"
"18/02/2025","4,5530","4,4850","4,5530","4,4710","84,70M","1,88%"
"17/02/2025","4,4690","4,4100","4,4825","4,4100","65,32M","1,63%"
"14/02/2025","4,3975","4,3865","4,4230","4,3660","53,94M","0,43%"
"13/02/2025","4,3785","4,4560","4,4625","4,3680","71,97M","-0,94%"
"12/02/2025","4,4200","4,4395","4,4505","4,4040","82,44M","-0,05%"
"11/02/2025","4,4220","4,3600","4,4245","4,3345","64,02M","1,85%"
"10/02/2025","4,3415","4,3580","4,3720","4,3135","69,13M","-0,21%"
"07/02/2025","4,3505","4,3565","4,3670","4,3175","68,02M","0,03%"
"06/02/2025","4,3490","4,2480","4,3500","4,2370","107,52M","2,98%"
"05/02/2025","4,2230","4,2405","4,2605","4,1970","61,51M","-0,68%"
