"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/06/2025","50,49","49,15","50,60","48,69","2,57K","4,65%"
"26/06/2025","48,24","48,60","48,60","47,99","5,35K","-1,24%"
"25/06/2025","48,85","49,42","49,42","48,71","2,42K","-1,10%"
"24/06/2025","49,40","49,93","49,99","49,30","1,03K","1,79%"
"23/06/2025","48,53","48,60","48,67","47,93","1,62K","-0,22%"
"20/06/2025","48,63","48,69","49,15","48,60","1,32K","0,44%"
"19/06/2025","48,42","48,60","48,74","48,45","2,51K","-1,08%"
"18/06/2025","48,94","49,49","49,49","48,67","2,37K","-1,37%"
"17/06/2025","49,63","50,30","50,30","49,54","4,09K","-1,79%"
"16/06/2025","50,53","50,71","50,81","50,33","1,90K","-0,41%"
"13/06/2025","50,74","50,61","50,99","50,52","1,01K","-1,74%"
"12/06/2025","51,64","51,30","51,78","50,89","2,06K","-0,88%"
"11/06/2025","52,10","52,46","52,62","51,97","1,96K","-0,29%"
"10/06/2025","52,25","52,10","52,28","51,62","1,99K","1,46%"
"09/06/2025","51,50","51,57","51,69","51,49","0,76K","0,08%"
"06/06/2025","51,46","51,49","51,68","51,40","1,60K","-0,12%"
"05/06/2025","51,52","51,64","51,97","50,95","3,19K","0,04%"
"04/06/2025","51,50","51,88","52,00","51,27","1,63K","-0,54%"
"03/06/2025","51,78","51,15","51,78","50,87","0,57K","1,01%"
"02/06/2025","51,26","51,70","51,77","50,77","2,51K","-2,81%"
"30/05/2025","52,74","52,66","53,10","52,66","1,31K","-0,17%"
"29/05/2025","52,83","53,66","53,93","52,82","2,07K","-0,40%"
"28/05/2025","53,04","52,01","53,02","51,64","7,40K","2,99%"
"27/05/2025","51,50","51,50","51,99","51,28","2,69K","-0,12%"
"26/05/2025","51,56","51,34","51,57","51,24","1,65K","2,08%"
"23/05/2025","50,51","52,60","52,82","50,13","6,71K","-4,03%"
"22/05/2025","52,63","52,78","52,78","52,18","0,65K","-0,70%"
"21/05/2025","53,00","53,16","53,16","52,36","1,92K","-0,45%"
"20/05/2025","53,24","52,47","53,54","52,28","1,87K","1,01%"
"19/05/2025","52,71","52,74","52,88","52,45","1,96K","0,32%"
"16/05/2025","52,54","53,00","53,00","52,41","1,87K","-1,24%"
"15/05/2025","53,20","53,83","53,90","53,16","1,42K","-1,02%"
"14/05/2025","53,75","53,97","53,97","53,00","1,48K","-0,37%"
"13/05/2025","53,95","52,98","53,96","52,98","1,98K","2,24%"
"12/05/2025","52,77","52,17","54,50","52,17","11,59K","3,63%"
"09/05/2025","50,92","51,28","51,83","50,89","5,79K","0,26%"
"08/05/2025","50,79","50,42","50,78","49,80","16,25K","-5,77%"
"07/05/2025","53,90","54,07","54,71","53,65","4,84K","-0,33%"
"06/05/2025","54,08","54,39","54,50","53,40","2,61K","0,39%"
"05/05/2025","53,87","53,54","54,12","53,17","1,73K","1,16%"
"02/05/2025","53,25","53,22","53,22","52,48","1,40K","1,16%"
"30/04/2025","52,64","53,50","54,23","52,40","5,70K","-2,68%"
"29/04/2025","54,09","54,62","54,62","53,54","1,98K","-1,80%"
"28/04/2025","55,08","55,25","55,62","55,09","7,53K","0,86%"
"25/04/2025","54,61","54,40","54,78","54,06","1,57K","1,47%"
"24/04/2025","53,82","52,81","53,87","52,68","4,10K","1,60%"
"23/04/2025","52,97","52,26","53,29","52,26","7,22K","2,77%"
"22/04/2025","51,54","50,87","51,62","50,45","3,69K","2,73%"
"17/04/2025","50,17","50,41","50,53","49,97","1,45K","-0,20%"
"16/04/2025","50,27","49,54","50,21","49,16","1,30K","0,26%"
"15/04/2025","50,14","50,37","51,20","50,00","2,79K","1,93%"
"14/04/2025","49,19","49,13","49,54","48,66","1,41K","2,02%"
"11/04/2025","48,22","48,38","48,38","47,50","0,80K","1,07%"
"10/04/2025","47,71","51,31","51,31","47,67","4,69K","2,13%"
"09/04/2025","46,71","46,97","48,15","46,20","2,87K","-3,86%"
"08/04/2025","48,58","49,90","50,00","48,50","3,17K","-0,78%"
"07/04/2025","48,97","45,99","50,04","45,99","7,58K","-0,55%"
"04/04/2025","49,24","51,61","51,61","48,42","6,12K","-4,56%"
"03/04/2025","51,59","52,25","54,99","51,01","5,24K","-4,27%"
"02/04/2025","53,89","53,91","53,91","53,29","2,35K","-0,61%"
