"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/06/2025","56,26","56,22","56,42","56,12","503,81K","0,36%"
"26/06/2025","56,06","55,98","56,26","55,80","573,07K","0,39%"
"25/06/2025","55,84","56,06","56,20","55,72","431,56K","0,04%"
"24/06/2025","55,82","56,20","56,34","55,74","516,20K","0,54%"
"23/06/2025","55,52","55,44","55,98","55,36","432,30K","-0,57%"
"20/06/2025","55,84","55,62","56,32","55,54","1,32M","0,83%"
"19/06/2025","55,38","55,32","55,69","55,22","637,47K","-0,32%"
"18/06/2025","55,56","55,50","55,72","55,22","537,10K","0,51%"
"17/06/2025","55,28","55,14","55,46","54,80","530,99K","-0,11%"
"16/06/2025","55,34","55,18","55,52","55,14","455,59K","0,25%"
"13/06/2025","55,20","54,94","55,22","54,68","716,33K","-0,43%"
"12/06/2025","55,44","55,62","55,72","54,96","559,07K","-1,18%"
"11/06/2025","56,10","56,00","56,34","55,86","896,20K","-0,11%"
"10/06/2025","56,16","57,10","57,14","56,11","745,41K","-1,61%"
"09/06/2025","57,08","57,12","57,30","56,92","461,83K","-0,11%"
"06/06/2025","57,14","57,32","57,32","56,78","682,05K","0,14%"
"05/06/2025","57,06","56,40","57,06","56,34","957,16K","0,88%"
"04/06/2025","56,56","57,32","57,50","56,56","1,32M","0,28%"
"03/06/2025","56,40","56,74","56,82","55,76","931,75K","-0,46%"
"02/06/2025","56,66","55,46","56,86","55,46","1,50M","2,24%"
"30/05/2025","55,42","55,10","55,86","55,00","1,81M","1,39%"
"29/05/2025","54,66","54,18","54,78","54,08","667,20K","1,07%"
"28/05/2025","54,08","53,60","54,14","53,56","932,70K","1,12%"
"27/05/2025","53,48","53,52","53,68","53,12","712,91K","-0,26%"
"26/05/2025","53,62","53,84","53,96","53,56","648,48K","0,04%"
"23/05/2025","53,60","54,38","54,50","52,62","1,32M","-1,94%"
"22/05/2025","54,66","55,06","55,08","54,34","753,16K","-0,51%"
"21/05/2025","54,94","54,98","55,06","54,68","622,34K","-0,11%"
"20/05/2025","55,00","54,36","55,00","54,34","1,16M","1,36%"
"19/05/2025","54,26","53,70","54,28","53,60","1,36M","-2,30%"
"16/05/2025","55,54","55,76","55,90","55,52","1,54M","0,18%"
"15/05/2025","55,44","54,66","55,48","54,52","1,32M","0,62%"
"14/05/2025","55,10","54,78","55,12","54,60","857,60K","0,66%"
"13/05/2025","54,74","54,94","55,22","54,70","822,12K","-0,36%"
"12/05/2025","54,94","55,26","55,72","54,48","887,34K","-0,18%"
"09/05/2025","55,04","54,84","55,14","54,62","644,64K","0,36%"
"08/05/2025","54,84","55,22","55,34","54,76","810,78K","-0,25%"
"07/05/2025","54,98","55,02","55,12","54,68","781,29K","0,18%"
"06/05/2025","54,88","54,78","54,94","54,38","731,84K","0,44%"
"05/05/2025","54,64","54,42","54,74","54,16","592,57K","0,74%"
"02/05/2025","54,24","54,36","54,74","54,06","901,48K","0,63%"
"30/04/2025","53,90","53,98","54,12","53,32","905,54K","0,45%"
"29/04/2025","53,66","53,50","53,84","53,30","685,08K","0,68%"
"28/04/2025","53,30","53,26","53,42","53,08","707,19K","0,72%"
"25/04/2025","52,92","52,60","52,98","52,50","793,96K","0,80%"
"24/04/2025","52,50","52,16","52,70","52,12","782,80K","0,73%"
"23/04/2025","52,12","52,16","52,34","51,66","874,15K","0,85%"
"22/04/2025","51,68","51,00","51,76","50,98","639,27K","1,49%"
"17/04/2025","50,92","50,74","51,22","50,66","833,46K","0,04%"
"16/04/2025","50,90","50,00","50,90","49,97","692,88K","1,27%"
"15/04/2025","50,26","49,64","50,40","49,55","807,98K","1,78%"
"14/04/2025","49,38","48,99","49,74","48,51","1,11M","3,50%"
"11/04/2025","47,71","47,82","48,55","47,39","722,76K","0,46%"
