"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/06/2025","1,903","1,836","1,910","1,821","1,93M","4,33%"
"26/06/2025","1,824","1,790","1,824","1,768","1,72M","3,34%"
"25/06/2025","1,765","1,772","1,785","1,754","778,04K","0,23%"
"24/06/2025","1,761","1,750","1,772","1,745","817,61K","2,56%"
"23/06/2025","1,717","1,740","1,741","1,701","1,31M","-2,17%"
"20/06/2025","1,755","1,779","1,783","1,753","673,89K","-0,57%"
"19/06/2025","1,765","1,772","1,780","1,760","895,72K","-0,73%"
"18/06/2025","1,778","1,810","1,810","1,771","1,17M","-1,11%"
"17/06/2025","1,798","1,778","1,830","1,777","1,18M","0,73%"
"16/06/2025","1,785","1,760","1,794","1,742","757,52K","1,42%"
"13/06/2025","1,760","1,764","1,774","1,750","1,34M","-1,68%"
"12/06/2025","1,790","1,800","1,801","1,760","947,85K","-1,27%"
"11/06/2025","1,813","1,830","1,839","1,809","791,62K","-0,49%"
"10/06/2025","1,822","1,780","1,822","1,777","1,13M","3,23%"
"09/06/2025","1,765","1,762","1,793","1,762","892,02K","-0,51%"
"06/06/2025","1,774","1,778","1,797","1,774","567,27K","-0,28%"
"05/06/2025","1,779","1,789","1,798","1,769","602,08K","-0,28%"
"04/06/2025","1,784","1,805","1,805","1,773","756,98K","-0,56%"
"03/06/2025","1,794","1,784","1,806","1,700","2,02M","1,24%"
"02/06/2025","1,772","1,815","1,815","1,770","993,25K","-2,58%"
"30/05/2025","1,819","1,804","1,829","1,803","1,29M","0,28%"
"29/05/2025","1,814","1,829","1,844","1,808","592,95K","0,28%"
"28/05/2025","1,809","1,823","1,838","1,806","1,16M","-0,88%"
"27/05/2025","1,825","1,837","1,842","1,816","781,45K","0,11%"
"26/05/2025","1,823","1,795","1,823","1,787","795,55K","2,30%"
"23/05/2025","1,782","1,810","1,829","1,746","1,74M","-1,27%"
"22/05/2025","1,805","1,821","1,847","1,794","1,04M","-1,74%"
"21/05/2025","1,837","1,861","1,861","1,821","983,44K","-1,24%"
"20/05/2025","1,860","1,852","1,861","1,839","1,22M","0,65%"
"19/05/2025","1,848","1,860","1,860","1,828","719,61K","0,11%"
"16/05/2025","1,846","1,846","1,859","1,817","1,19M","0,76%"
"15/05/2025","1,832","1,817","1,856","1,800","1,22M","1,38%"
"14/05/2025","1,807","1,829","1,829","1,792","1,50M","-1,69%"
"13/05/2025","1,838","1,728","1,852","1,724","3,63M","7,11%"
"12/05/2025","1,716","1,680","1,734","1,654","4,10M","4,06%"
"09/05/2025","1,649","1,786","1,804","1,611","7,38M","-7,10%"
"08/05/2025","1,775","1,768","1,784","1,738","1,45M","1,20%"
"07/05/2025","1,754","1,745","1,764","1,736","983,09K","0,52%"
"06/05/2025","1,745","1,785","1,786","1,732","971,06K","-1,63%"
"05/05/2025","1,774","1,795","1,795","1,768","1,01M","-1,11%"
"02/05/2025","1,794","1,749","1,794","1,740","1,33M","3,94%"
"30/04/2025","1,726","1,728","1,752","1,701","1,11M","0,35%"
"29/04/2025","1,720","1,742","1,749","1,716","1,03M","-0,92%"
"28/04/2025","1,736","1,757","1,762","1,735","792,47K","-0,57%"
"25/04/2025","1,746","1,751","1,770","1,738","982,61K","-0,11%"
"24/04/2025","1,748","1,738","1,762","1,716","651,24K","0,17%"
"23/04/2025","1,745","1,675","1,757","1,646","2,98M","3,44%"
"22/04/2025","1,687","1,778","1,785","1,675","2,59M","-6,12%"
"17/04/2025","1,797","1,780","1,822","1,768","2,07M","0,96%"
"16/04/2025","1,780","1,800","1,804","1,765","1,96M","-2,57%"
"15/04/2025","1,827","1,838","1,849","1,818","948,06K","0,77%"
"14/04/2025","1,813","1,828","1,837","1,810","617,93K","1,17%"
"11/04/2025","1,792","1,800","1,807","1,762","564,38K","0,90%"
"10/04/2025","1,776","1,925","1,954","1,776","1,29M","0,91%"
"09/04/2025","1,760","1,770","1,779","1,720","1,36M","-2,76%"
"08/04/2025","1,810","1,816","1,825","1,793","1,13M","1,80%"
"07/04/2025","1,778","1,700","1,859","1,697","2,73M","-2,41%"
"04/04/2025","1,822","1,880","1,889","1,796","1,80M","-3,09%"
"03/04/2025","1,880","1,891","1,941","1,880","1,17M","-2,44%"
"02/04/2025","1,927","1,908","1,927","1,891","676,13K","1,00%"
"01/04/2025","1,908","1,919","1,923","1,900","562,65K","-0,05%"
"31/03/2025","1,909","1,934","1,954","1,891","1,48M","-2,60%"
"28/03/2025","1,960","1,970","1,982","1,950","822,78K","0,05%"
"27/03/2025","1,959","1,954","1,973","1,920","1,27M","-0,81%"
"26/03/2025","1,975","2,018","2,018","1,971","1,08M","-1,00%"
"25/03/2025","1,995","2,020","2,028","1,994","736,05K","-0,84%"
"24/03/2025","2,012","2,052","2,052","2,008","380,87K","-0,40%"
"21/03/2025","2,020","2,050","2,058","2,002","1,04M","-1,46%"
"20/03/2025","2,050","2,078","2,078","2,010","890,06K","0,39%"
"19/03/2025","2,042","2,046","2,052","2,020","568,45K","-0,20%"
"18/03/2025","2,046","2,030","2,088","2,030","670,81K","0,89%"
"17/03/2025","2,028","2,034","2,056","2,024","582,80K","0,90%"
"14/03/2025","2,010","1,998","2,030","1,973","727,63K","0,70%"
"13/03/2025","1,996","2,032","2,064","1,984","1,06M","-2,16%"
"12/03/2025","2,040","2,010","2,040","1,981","1,55M","2,31%"
"11/03/2025","1,994","2,062","2,062","1,977","1,24M","-3,20%"
"10/03/2025","2,060","2,028","2,064","2,008","1,44M","3,00%"
"07/03/2025","2,000","2,000","2,010","1,963","1,02M","-0,20%"
"06/03/2025","2,004","1,950","2,024","1,950","1,70M","3,41%"
"05/03/2025","1,938","1,968","1,969","1,911","2,94M","-0,05%"
"04/03/2025","1,939","2,160","2,172","1,939","4,30M","-11,14%"
"03/03/2025","2,182","2,136","2,208","2,126","1,08M","2,06%"
"28/02/2025","2,138","2,154","2,162","2,120","1,64M","-1,47%"
"27/02/2025","2,170","2,204","2,210","2,166","854,30K","-1,99%"
"26/02/2025","2,214","2,216","2,236","2,204","949,81K","0,09%"
"25/02/2025","2,212","2,200","2,228","2,198","986,84K","0,09%"
"24/02/2025","2,210","2,254","2,256","2,180","1,19M","-1,25%"
"21/02/2025","2,238","2,166","2,270","2,166","3,79M","3,61%"
"20/02/2025","2,160","2,188","2,188","2,152","959,02K","-1,19%"
"19/02/2025","2,186","2,196","2,224","2,186","1,25M","-0,09%"
"18/02/2025","2,188","2,180","2,196","2,170","540,74K","0,55%"
"17/02/2025","2,176","2,200","2,200","2,154","665,09K","-0,82%"
"14/02/2025","2,194","2,174","2,204","2,164","1,04M","0,73%"
"13/02/2025","2,178","2,132","2,192","2,128","1,57M","3,22%"
"12/02/2025","2,110","2,122","2,134","2,108","528,03K","-0,38%"
"11/02/2025","2,118","2,124","2,128","2,110","483,19K","0,09%"
"10/02/2025","2,116","2,124","2,128","2,110","1,00M","0,09%"
"07/02/2025","2,114","2,122","2,130","2,100","595,70K","-0,28%"
"06/02/2025","2,120","2,110","2,120","2,100","558,64K","1,15%"
"05/02/2025","2,096","2,104","2,114","2,090","516,18K","-0,66%"
"04/02/2025","2,110","2,122","2,130","2,096","407,58K","-0,47%"
"03/02/2025","2,120","2,090","2,122","2,072","1,59M","-1,94%"
"31/01/2025","2,162","2,170","2,178","2,154","512,06K","-0,28%"
"30/01/2025","2,168","2,114","2,188","2,112","1,17M","2,07%"
"29/01/2025","2,124","2,160","2,160","2,120","559,16K","-1,12%"
"28/01/2025","2,148","2,154","2,154","2,120","539,03K","0,37%"
"27/01/2025","2,140","2,094","2,150","2,094","808,28K","1,42%"
"24/01/2025","2,110","2,144","2,172","2,100","1,14M","-0,75%"
"23/01/2025","2,126","2,108","2,126","2,100","624,95K","0,66%"
"22/01/2025","2,112","2,144","2,166","2,110","654,15K","-1,77%"
"21/01/2025","2,150","2,146","2,152","2,114","1,54M","0,19%"
"20/01/2025","2,146","2,154","2,164","2,130","564,04K","0,19%"
"17/01/2025","2,142","2,120","2,156","2,116","1,01M","1,42%"
"16/01/2025","2,112","2,142","2,146","2,102","471,18K","-0,47%"
"15/01/2025","2,122","2,112","2,130","2,096","695,78K","0,66%"
"14/01/2025","2,108","2,116","2,128","2,104","475,95K","0,57%"
"13/01/2025","2,096","2,118","2,126","2,090","529,91K","-0,85%"
"10/01/2025","2,114","2,140","2,152","2,114","450,17K","-1,12%"
"09/01/2025","2,138","2,142","2,150","2,116","416,11K","-0,28%"
"08/01/2025","2,144","2,204","2,212","2,140","1,04M","-2,55%"
"07/01/2025","2,200","2,200","2,220","2,178","1,01M","0,18%"
"06/01/2025","2,196","2,164","2,220","2,154","991,55K","2,43%"
"03/01/2025","2,144","2,168","2,176","2,142","519,11K","-0,65%"
"02/01/2025","2,158","2,186","2,202","2,134","761,09K","-1,01%"
"30/12/2024","2,180","2,170","2,186","2,164","700,92K","0,46%"
"27/12/2024","2,170","2,110","2,170","2,100","675,77K","3,14%"
"23/12/2024","2,104","2,108","2,108","2,084","329,56K","0,10%"
"20/12/2024","2,102","2,050","2,104","2,046","780,13K","2,14%"
"19/12/2024","2,058","2,090","2,112","2,056","869,59K","-2,83%"
"18/12/2024","2,118","2,122","2,132","2,094","646,55K","-0,66%"
"17/12/2024","2,132","2,130","2,142","2,110","892,18K","0,00%"
"16/12/2024","2,132","2,168","2,168","2,124","974,45K","-1,66%"
"13/12/2024","2,168","2,192","2,194","2,158","802,59K","-0,46%"
"12/12/2024","2,178","2,166","2,196","2,162","998,28K","0,83%"
"11/12/2024","2,160","2,160","2,174","2,160","440,17K","0,00%"
"10/12/2024","2,160","2,160","2,174","2,144","977,07K","0,00%"
"09/12/2024","2,160","2,108","2,166","2,108","1,57M","3,35%"
"06/12/2024","2,090","2,110","2,126","2,080","1,45M","-0,19%"
"05/12/2024","2,094","2,050","2,100","2,050","986,83K","2,15%"
"04/12/2024","2,050","2,056","2,080","2,048","1,03M","-0,49%"
"03/12/2024","2,060","2,012","2,060","2,012","1,01M","2,28%"
"02/12/2024","2,014","2,034","2,040","2,004","813,21K","-0,98%"
"29/11/2024","2,034","2,040","2,046","2,022","822,74K","-0,29%"
"28/11/2024","2,040","2,030","2,050","2,028","556,98K","0,39%"
"27/11/2024","2,032","2,056","2,058","2,014","1,33M","-0,88%"
"26/11/2024","2,050","2,080","2,080","2,040","733,15K","-1,63%"
"25/11/2024","2,084","2,082","2,110","2,064","1,14M","0,19%"
"22/11/2024","2,080","2,048","2,080","2,020","1,14M","1,86%"
"21/11/2024","2,042","2,098","2,098","2,042","1,30M","-2,48%"
"20/11/2024","2,094","2,088","2,094","2,066","1,33M","1,16%"
"19/11/2024","2,070","2,120","2,120","2,040","1,00M","-1,62%"
"18/11/2024","2,104","2,130","2,136","2,092","1,44M","-0,47%"
"15/11/2024","2,114","2,080","2,132","2,070","1,11M","1,34%"
"14/11/2024","2,086","2,050","2,096","2,030","1,50M","1,46%"
"13/11/2024","2,056","2,030","2,082","2,016","1,75M","0,98%"
"12/11/2024","2,036","2,070","2,072","2,010","1,96M","-2,68%"
"11/11/2024","2,092","2,142","2,146","2,076","2,01M","-1,69%"
"08/11/2024","2,128","2,248","2,248","2,128","2,58M","-4,49%"
"07/11/2024","2,228","2,170","2,244","2,170","963,55K","2,67%"
"06/11/2024","2,170","2,210","2,238","2,158","1,06M","-1,09%"
"05/11/2024","2,194","2,200","2,208","2,182","576,76K","0,18%"
"04/11/2024","2,190","2,180","2,232","2,180","755,40K","0,46%"
"01/11/2024","2,180","2,176","2,214","2,164","1,11M","-1,54%"
"31/10/2024","2,214","2,230","2,238","2,210","769,20K","-0,72%"
"30/10/2024","2,230","2,220","2,238","2,182","4,12M","-1,59%"
"29/10/2024","2,266","2,282","2,304","2,264","825,21K","-0,61%"
"28/10/2024","2,280","2,306","2,306","2,270","919,80K","-0,09%"
"25/10/2024","2,282","2,288","2,292","2,256","838,39K","0,18%"
"24/10/2024","2,278","2,264","2,314","2,258","1,23M","0,89%"
"23/10/2024","2,258","2,310","2,312","2,258","1,56M","-1,48%"
"22/10/2024","2,292","2,398","2,398","2,292","2,69M","-4,34%"
"21/10/2024","2,396","2,472","2,472","2,396","2,25M","-2,84%"
"18/10/2024","2,466","2,498","2,522","2,462","1,37M","-1,52%"
"17/10/2024","2,504","2,520","2,528","2,496","636,79K","-0,40%"
"16/10/2024","2,514","2,502","2,530","2,484","978,25K","0,48%"
"15/10/2024","2,502","2,540","2,546","2,502","1,05M","-1,50%"
"14/10/2024","2,540","2,530","2,570","2,528","748,28K","0,40%"
"11/10/2024","2,530","2,514","2,536","2,508","282,84K","0,88%"
"10/10/2024","2,508","2,528","2,528","2,500","405,22K","-0,32%"
"09/10/2024","2,516","2,526","2,532","2,504","439,73K","-0,32%"
"08/10/2024","2,524","2,538","2,544","2,518","521,15K","-1,64%"
"07/10/2024","2,566","2,552","2,566","2,522","371,66K","1,18%"
"04/10/2024","2,536","2,500","2,544","2,498","414,75K","1,77%"
"03/10/2024","2,492","2,542","2,546","2,492","689,66K","-1,97%"
"02/10/2024","2,542","2,562","2,578","2,540","646,07K","-0,78%"
"01/10/2024","2,562","2,632","2,650","2,562","1,43M","-2,66%"
"30/09/2024","2,632","2,614","2,652","2,606","958,26K","0,61%"
"27/09/2024","2,616","2,560","2,634","2,554","1,28M","2,59%"
"26/09/2024","2,550","2,484","2,554","2,472","1,66M","3,16%"
"25/09/2024","2,472","2,400","2,472","2,392","1,81M","2,91%"
"24/09/2024","2,402","2,436","2,446","2,380","1,97M","-0,33%"
"23/09/2024","2,410","2,536","2,546","2,374","4,15M","-8,64%"
"20/09/2024","2,638","2,666","2,670","2,612","2,01M","-0,98%"
"19/09/2024","2,664","2,680","2,682","2,660","958,32K","0,45%"
"18/09/2024","2,652","2,674","2,680","2,650","534,61K","-0,53%"
"17/09/2024","2,666","2,666","2,740","2,652","1,15M","0,53%"
"16/09/2024","2,652","2,660","2,670","2,650","","-0,38%"
"13/09/2024","2,662","2,626","2,672","2,626","641,89K","1,84%"
"12/09/2024","2,614","2,632","2,642","2,610","502,74K","0,38%"
"11/09/2024","2,604","2,590","2,626","2,590","449,10K","0,39%"
"10/09/2024","2,594","2,610","2,642","2,590","455,85K","-0,69%"
"09/09/2024","2,612","2,638","2,656","2,610","464,85K","-0,08%"
"06/09/2024","2,614","2,650","2,650","2,612","567,29K","-1,13%"
"05/09/2024","2,644","2,630","2,664","2,620","328,37K","0,38%"
"04/09/2024","2,634","2,640","2,768","2,618","1,29M","-0,53%"
"03/09/2024","2,648","2,682","2,702","2,636","867,23K","-1,19%"
"02/09/2024","2,680","2,690","2,724","2,660","1,02M","-0,37%"
"30/08/2024","2,690","2,658","2,690","2,650","853,10K","1,20%"
"29/08/2024","2,658","2,650","2,658","2,630","332,42K","0,76%"
"28/08/2024","2,638","2,628","2,644","2,622","328,98K","0,38%"
"27/08/2024","2,628","2,628","2,652","2,618","623,13K","0,31%"
"26/08/2024","2,620","2,620","2,632","2,614","333,10K","0,15%"
"23/08/2024","2,616","2,570","2,616","2,570","488,95K","2,03%"
"22/08/2024","2,564","2,582","2,592","2,564","340,54K","-0,70%"
"21/08/2024","2,582","2,556","2,584","2,548","434,42K","1,57%"
"20/08/2024","2,542","2,574","2,580","2,538","443,16K","-0,70%"
"19/08/2024","2,560","2,550","2,570","2,538","503,13K","0,87%"
"16/08/2024","2,538","2,566","2,566","2,512","413,21K","1,04%"
"14/08/2024","2,512","2,524","2,534","2,478","571,50K","0,40%"
"13/08/2024","2,502","2,502","2,518","2,482","321,39K","0,00%"
"12/08/2024","2,502","2,528","2,540","2,502","615,56K","-0,32%"
"09/08/2024","2,510","2,510","2,532","2,496","373,54K","0,64%"
"08/08/2024","2,494","2,510","2,522","2,482","454,47K","-0,40%"
"07/08/2024","2,504","2,508","2,530","2,480","1,02M","0,81%"
