"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/06/2025","95,78","94,72","96,04","94,58","575,85K","2,35%"
"26/06/2025","93,58","93,58","94,04","93,10","681,44K","-0,06%"
"25/06/2025","93,64","95,34","95,36","93,52","517,83K","-1,43%"
"24/06/2025","95,00","95,90","96,20","94,70","617,38K","1,76%"
"23/06/2025","93,36","93,00","94,12","92,88","511,71K","-0,51%"
"20/06/2025","93,84","94,32","95,58","93,84","1,05M","0,19%"
"19/06/2025","93,66","94,00","94,98","93,52","543,47K","-1,14%"
"18/06/2025","94,74","95,70","95,92","93,80","554,98K","-1,04%"
"17/06/2025","95,74","96,92","97,48","94,04","937,72K","-2,23%"
"16/06/2025","97,92","95,44","97,92","95,44","693,42K","3,01%"
"13/06/2025","95,06","94,70","95,96","94,50","909,15K","-2,20%"
"12/06/2025","97,20","99,02","99,58","97,20","637,37K","-2,64%"
"11/06/2025","99,84","97,72","100,55","97,54","803,05K","2,46%"
"10/06/2025","97,44","95,66","97,44","94,92","529,63K","2,46%"
"09/06/2025","95,10","94,92","95,24","94,56","425,14K","-0,04%"
"06/06/2025","95,14","94,60","95,22","94,32","392,92K","0,25%"
"05/06/2025","94,90","93,72","96,16","93,18","561,08K","1,11%"
"04/06/2025","93,86","93,50","94,54","93,00","949,02K","0,56%"
"03/06/2025","93,34","92,20","93,66","92,00","745,27K","1,19%"
"02/06/2025","92,24","95,02","95,76","90,60","1,20M","-3,80%"
"30/05/2025","95,88","95,98","96,42","95,60","841,35K","-0,13%"
"29/05/2025","96,00","95,98","97,16","95,76","280,72K","0,50%"
"28/05/2025","95,52","97,16","97,56","95,52","574,58K","-1,75%"
"27/05/2025","97,22","96,86","97,60","96,70","319,47K","0,43%"
"26/05/2025","96,80","97,02","97,50","96,44","259,29K","0,90%"
"23/05/2025","95,94","96,50","96,80","93,76","763,40K","-0,74%"
"22/05/2025","96,66","96,02","96,66","94,82","596,58K","0,10%"
"21/05/2025","96,56","96,38","96,72","95,26","565,63K","-0,14%"
"20/05/2025","96,70","95,90","96,96","95,90","399,16K","0,90%"
"19/05/2025","95,84","95,04","95,96","94,54","380,64K","0,82%"
"16/05/2025","95,06","96,38","96,44","94,90","648,96K","-1,04%"
"15/05/2025","96,06","95,50","96,06","94,98","618,23K","-0,19%"
"14/05/2025","96,24","96,30","96,94","95,72","675,94K","-0,31%"
"13/05/2025","96,54","95,48","97,68","95,48","576,92K","1,17%"
"12/05/2025","95,42","92,84","96,56","92,84","962,69K","3,51%"
"09/05/2025","92,18","91,06","92,18","90,94","467,91K","1,59%"
"08/05/2025","90,74","91,38","92,10","90,40","487,31K","-0,18%"
"07/05/2025","90,90","90,58","91,02","90,08","570,24K","0,18%"
"06/05/2025","90,74","92,02","92,10","90,32","658,07K","-0,90%"
"05/05/2025","91,56","91,36","91,70","90,94","277,98K","0,24%"
"02/05/2025","91,34","90,20","91,50","89,92","670,54K","2,33%"
"30/04/2025","89,26","89,38","90,06","87,76","709,74K","0,36%"
"29/04/2025","88,94","89,22","90,00","88,62","364,60K","0,09%"
"28/04/2025","88,86","88,34","89,30","87,92","681,70K","0,05%"
"25/04/2025","88,82","88,64","89,80","88,20","886,68K","1,83%"
"24/04/2025","87,22","86,16","87,36","86,12","464,92K","1,11%"
"23/04/2025","86,26","86,00","88,24","86,00","1,04M","1,27%"
"22/04/2025","85,18","84,52","85,30","83,86","652,95K","0,40%"
"17/04/2025","84,84","83,64","85,64","83,18","539,49K","1,22%"
"16/04/2025","83,82","85,82","86,34","83,28","836,63K","-3,99%"
"15/04/2025","87,30","86,00","88,08","84,88","830,79K","3,90%"
"14/04/2025","84,02","83,34","84,98","82,96","693,07K","2,81%"
"11/04/2025","81,72","82,92","84,02","80,62","715,61K","-0,44%"
"10/04/2025","82,08","85,70","86,34","82,08","1,09M","7,46%"
"09/04/2025","76,38","75,90","77,68","75,60","756,44K","-3,00%"
"08/04/2025","78,74","77,92","79,82","75,98","926,15K","2,23%"
"07/04/2025","77,02","74,26","82,00","72,10","1,58M","-4,80%"
"04/04/2025","80,90","83,10","83,60","78,38","1,42M","-4,35%"
"03/04/2025","84,58","85,98","86,60","83,90","874,76K","-3,54%"
"02/04/2025","87,68","86,74","88,36","86,42","663,07K","1,04%"
"01/04/2025","86,78","87,62","88,36","85,86","684,53K","0,05%"
"31/03/2025","86,74","88,86","89,28","86,38","756,83K","-3,62%"
"28/03/2025","90,00","90,02","90,92","89,56","547,04K","-0,22%"
"27/03/2025","90,20","90,80","91,36","90,04","459,07K","-1,74%"
"26/03/2025","91,80","93,72","93,74","91,64","551,94K","-1,25%"
"25/03/2025","92,96","92,06","93,02","91,44","684,59K","1,46%"
"24/03/2025","91,62","92,56","93,60","89,78","674,57K","-0,48%"
"21/03/2025","92,06","91,70","92,16","90,32","1,44M","0,09%"
"20/03/2025","91,98","92,72","93,16","91,98","316,16K","-0,80%"
"19/03/2025","92,72","91,74","92,76","91,10","530,89K","1,02%"
"18/03/2025","91,78","92,24","93,32","91,44","474,05K","-0,28%"
"17/03/2025","92,04","91,64","92,44","91,32","474,56K","0,70%"
"14/03/2025","91,40","90,00","91,78","89,24","662,18K","1,33%"
"13/03/2025","90,20","91,94","92,34","90,00","519,99K","-2,40%"
"12/03/2025","92,42","93,62","93,84","91,52","896,13K","-0,94%"
"11/03/2025","93,30","94,54","95,12","91,70","998,86K","-1,48%"
"10/03/2025","94,70","95,66","95,96","93,82","907,66K","-0,08%"
"07/03/2025","94,78","92,20","94,90","91,94","854,95K","2,29%"
"06/03/2025","92,66","92,96","93,60","90,74","847,33K","1,18%"
"05/03/2025","91,58","92,46","93,46","91,58","821,81K","1,10%"
"04/03/2025","90,58","94,88","95,14","90,26","1,09M","-5,17%"
"03/03/2025","95,52","95,68","96,52","95,30","713,93K","0,02%"
"28/02/2025","95,50","96,70","97,20","94,94","1,87M","-1,87%"
"27/02/2025","97,32","99,40","100,15","96,96","704,99K","-4,45%"
"26/02/2025","101,85","101,20","102,40","100,75","510,84K","0,64%"
"25/02/2025","101,20","103,20","103,20","100,55","563,91K","-2,46%"
"24/02/2025","103,75","102,70","103,75","102,05","346,45K","1,02%"
"21/02/2025","102,70","102,80","103,90","102,15","676,63K","0,10%"
"20/02/2025","102,60","105,50","105,85","101,90","590,93K","-2,98%"
"19/02/2025","105,75","105,80","106,85","105,10","607,57K","-0,09%"
"18/02/2025","105,85","106,05","106,40","105,30","539,23K","-0,28%"
"17/02/2025","106,15","105,40","106,25","105,05","361,00K","0,47%"
"14/02/2025","105,65","104,75","105,70","104,05","597,45K","0,86%"
"13/02/2025","104,75","106,50","107,50","104,65","524,02K","-0,95%"
"12/02/2025","105,75","105,60","107,05","105,55","528,05K","0,14%"
"11/02/2025","105,60","105,70","106,05","104,75","379,08K","-0,33%"
"10/02/2025","105,95","107,00","107,40","105,60","391,58K","-0,75%"
"07/02/2025","106,75","107,60","108,05","106,25","507,55K","-0,84%"
"06/02/2025","107,65","108,00","109,30","107,55","800,98K","0,19%"
"05/02/2025","107,45","104,65","108,65","104,65","807,49K","2,58%"
"04/02/2025","104,75","103,40","105,45","99,90","837,47K","2,29%"
"03/02/2025","102,40","101,05","102,85","100,80","641,69K","-0,53%"
"31/01/2025","102,95","102,90","103,10","102,00","448,11K","0,24%"
"30/01/2025","102,70","101,30","102,90","101,15","326,12K","1,43%"
"29/01/2025","101,25","101,30","102,05","100,95","349,00K","0,00%"
"28/01/2025","101,25","100,90","102,40","100,90","321,78K","0,40%"
"27/01/2025","100,85","99,46","101,60","98,68","522,59K","1,03%"
"24/01/2025","99,82","100,30","100,85","99,16","336,90K","-0,38%"
"23/01/2025","100,20","99,12","100,20","98,94","491,24K","0,30%"
"22/01/2025","99,90","100,50","101,45","99,78","378,45K","-0,30%"
"21/01/2025","100,20","100,25","100,65","99,76","356,38K","-0,15%"
