"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/06/2025","8,604","8,650","8,674","8,566","2,93M","-0,69%"
"26/06/2025","8,664","8,622","8,664","8,570","4,12M","1,03%"
"25/06/2025","8,576","8,628","8,642","8,558","2,51M","-0,60%"
"24/06/2025","8,628","8,682","8,688","8,602","4,63M","-0,69%"
"23/06/2025","8,688","8,560","8,716","8,550","4,06M","-1,85%"
"20/06/2025","8,852","8,932","8,954","8,852","8,45M","-0,90%"
"19/06/2025","8,932","8,878","8,932","8,824","2,93M","0,61%"
"18/06/2025","8,878","8,896","8,938","8,850","3,39M","0,00%"
"17/06/2025","8,878","8,834","8,884","8,786","3,49M","0,41%"
"16/06/2025","8,842","8,914","8,938","8,834","4,10M","-1,12%"
"13/06/2025","8,942","8,942","8,958","8,894","2,58M","0,13%"
"12/06/2025","8,930","8,948","8,980","8,900","1,92M","0,02%"
"11/06/2025","8,928","8,866","8,928","8,834","2,28M","0,45%"
"10/06/2025","8,888","8,934","8,950","8,884","2,58M","0,09%"
"09/06/2025","8,880","8,920","8,936","8,836","2,23M","-0,56%"
"06/06/2025","8,930","8,926","8,964","8,890","2,88M","0,63%"
"05/06/2025","8,874","8,936","8,966","8,850","3,78M","-0,78%"
"04/06/2025","8,944","8,980","8,998","8,926","4,38M","-0,31%"
"03/06/2025","8,972","9,098","9,098","8,956","3,09M","-0,95%"
"02/06/2025","9,058","8,998","9,058","8,972","2,74M","1,12%"
"30/05/2025","8,958","8,920","9,022","8,894","11,90M","0,97%"
"29/05/2025","8,872","8,920","8,930","8,840","3,18M","-1,00%"
"28/05/2025","8,962","8,990","9,048","8,926","2,20M","-0,38%"
"27/05/2025","8,996","9,062","9,096","8,996","2,51M","-0,62%"
"26/05/2025","9,052","8,990","9,100","8,990","3,10M","0,69%"
"23/05/2025","8,990","8,988","9,030","8,888","6,33M","0,72%"
"22/05/2025","8,926","8,856","8,976","8,854","4,42M","0,65%"
"21/05/2025","8,868","8,834","8,906","8,834","3,49M","0,50%"
"20/05/2025","8,824","8,728","8,864","8,710","3,89M","1,19%"
"19/05/2025","8,720","8,678","8,720","8,606","4,35M","0,76%"
"16/05/2025","8,654","8,636","8,654","8,540","4,52M","1,19%"
"15/05/2025","8,552","8,556","8,576","8,444","4,45M","0,66%"
"14/05/2025","8,496","8,366","8,504","8,336","5,01M","0,90%"
"13/05/2025","8,420","8,414","8,500","8,400","4,32M","-0,07%"
"12/05/2025","8,426","8,586","8,610","8,326","6,68M","-1,93%"
"09/05/2025","8,592","8,558","8,638","8,558","3,35M","0,28%"
"08/05/2025","8,568","8,634","8,686","8,514","7,03M","-0,97%"
"07/05/2025","8,652","8,738","8,780","8,652","4,51M","-0,98%"
"06/05/2025","8,738","8,782","8,786","8,696","3,53M","0,02%"
"05/05/2025","8,736","8,674","8,754","8,660","1,85M","0,92%"
"02/05/2025","8,656","8,746","8,786","8,602","4,66M","-1,28%"
"30/04/2025","8,768","8,690","8,792","8,640","3,98M","1,06%"
"29/04/2025","8,676","8,628","8,704","8,552","3,98M","0,79%"
"28/04/2025","8,608","8,580","8,608","8,544","2,95M","1,03%"
"25/04/2025","8,520","8,500","8,584","8,440","2,64M","-0,26%"
"24/04/2025","8,542","8,468","8,550","8,454","3,00M","1,23%"
"23/04/2025","8,438","8,590","8,616","8,354","4,78M","-2,02%"
"22/04/2025","8,612","8,462","8,612","8,436","4,08M","2,11%"
"17/04/2025","8,434","8,440","8,480","8,340","4,39M","-0,12%"
"16/04/2025","8,444","8,426","8,464","8,350","4,77M","1,30%"
"15/04/2025","8,336","8,212","8,350","8,124","5,28M","1,73%"
"14/04/2025","8,194","8,128","8,194","8,052","4,10M","1,76%"
"11/04/2025","8,052","8,020","8,104","7,994","4,22M","1,05%"
"10/04/2025","7,968","8,050","8,078","7,860","8,12M","2,13%"
"09/04/2025","7,802","7,868","7,902","7,764","6,40M","-2,21%"
"08/04/2025","7,978","7,812","7,978","7,690","7,51M","1,89%"
"07/04/2025","7,830","8,154","8,194","7,830","14,80M","-6,05%"
"04/04/2025","8,334","8,714","8,834","8,334","12,66M","-3,96%"
"03/04/2025","8,678","8,500","8,678","8,446","7,85M","3,73%"
"02/04/2025","8,366","8,330","8,402","8,310","3,69M","0,14%"
"01/04/2025","8,354","8,390","8,430","8,292","7,42M","-0,12%"
"31/03/2025","8,364","8,350","8,420","8,310","7,90M","0,58%"
"28/03/2025","8,316","8,226","8,350","8,194","7,30M","1,79%"
"27/03/2025","8,170","8,106","8,202","8,052","4,03M","0,86%"
"26/03/2025","8,100","8,172","8,210","8,030","8,66M","0,52%"
"25/03/2025","8,058","8,074","8,146","8,056","3,87M","0,07%"
"24/03/2025","8,052","8,004","8,088","8,004","5,79M","0,05%"
"21/03/2025","8,048","7,968","8,102","7,952","13,48M","0,65%"
"20/03/2025","7,996","7,920","8,000","7,916","5,08M","1,11%"
"19/03/2025","7,908","7,958","7,980","7,908","5,38M","-0,03%"
"18/03/2025","7,910","7,966","7,994","7,910","5,44M","-1,08%"
"17/03/2025","7,996","7,904","7,996","7,856","3,50M","1,55%"
"14/03/2025","7,874","7,942","7,954","7,788","5,14M","-0,68%"
"13/03/2025","7,928","7,864","7,928","7,768","3,25M","0,66%"
"12/03/2025","7,876","7,948","7,948","7,828","3,38M","-0,76%"
"11/03/2025","7,936","7,942","7,972","7,884","4,16M","0,08%"
"10/03/2025","7,930","7,776","7,974","7,772","4,74M","2,11%"
"07/03/2025","7,766","7,684","7,768","7,642","4,53M","1,89%"
"06/03/2025","7,622","7,702","7,718","7,578","7,64M","-1,52%"
"05/03/2025","7,740","7,900","7,936","7,740","7,95M","-4,30%"
"04/03/2025","8,088","7,998","8,176","7,982","8,15M","1,40%"
"03/03/2025","7,976","8,026","8,032","7,876","3,99M","-1,04%"
"28/02/2025","8,060","7,994","8,068","7,968","12,13M","0,88%"
"27/02/2025","7,990","7,942","8,000","7,902","3,36M","0,23%"
"26/02/2025","7,972","7,982","8,024","7,930","3,22M","-0,05%"
"25/02/2025","7,976","7,918","7,992","7,896","4,96M","0,73%"
"24/02/2025","7,918","7,868","7,948","7,848","3,30M","1,18%"
"21/02/2025","7,826","7,798","7,834","7,768","3,38M","0,10%"
"20/02/2025","7,818","7,870","7,878","7,764","4,18M","-0,36%"
"19/02/2025","7,846","7,806","7,862","7,790","5,83M","0,82%"
"18/02/2025","7,782","7,800","7,832","7,764","3,01M","-0,41%"
"17/02/2025","7,814","7,782","7,858","7,778","2,29M","-0,13%"
"14/02/2025","7,824","7,836","7,866","7,782","3,53M","-0,71%"
"13/02/2025","7,880","7,796","7,884","7,716","5,08M","1,86%"
"12/02/2025","7,736","7,846","7,846","7,684","5,55M","-1,02%"
"11/02/2025","7,816","7,936","7,936","7,796","6,32M","-1,09%"
"10/02/2025","7,902","7,904","7,976","7,864","2,64M","0,08%"
"07/02/2025","7,896","7,908","7,964","7,896","2,59M","-0,45%"
"06/02/2025","7,932","7,960","8,014","7,898","2,67M","-0,68%"
"05/02/2025","7,986","7,954","8,022","7,916","3,61M","0,25%"
"04/02/2025","7,966","7,958","7,972","7,900","4,86M","-0,28%"
"03/02/2025","7,988","7,960","8,004","7,898","3,27M","0,30%"
"31/01/2025","7,964","7,982","8,034","7,960","3,92M","-0,23%"
"30/01/2025","7,982","7,912","7,996","7,856","3,23M","1,27%"
"29/01/2025","7,882","7,926","7,934","7,792","4,11M","-0,56%"
"28/01/2025","7,926","7,828","7,938","7,798","5,27M","1,64%"
"27/01/2025","7,798","7,750","7,874","7,712","3,29M","1,09%"
"24/01/2025","7,714","7,826","7,842","7,654","4,34M","-1,00%"
"23/01/2025","7,792","7,782","7,826","7,746","3,33M","0,33%"
"22/01/2025","7,766","7,834","7,862","7,766","3,40M","-0,87%"
"21/01/2025","7,834","7,754","7,852","7,722","4,20M","0,98%"
"20/01/2025","7,758","7,890","7,892","7,758","2,51M","-1,40%"
"17/01/2025","7,868","7,826","7,896","7,810","4,74M","0,92%"
"16/01/2025","7,796","7,724","7,796","7,688","3,59M","1,09%"
"15/01/2025","7,712","7,640","7,730","7,618","3,72M","1,31%"
"14/01/2025","7,612","7,620","7,670","7,592","4,47M","-0,13%"
"13/01/2025","7,622","7,600","7,656","7,576","4,65M","0,11%"
"10/01/2025","7,614","7,750","7,750","7,458","5,29M","-1,48%"
"09/01/2025","7,728","7,628","7,754","7,610","3,61M","1,15%"
"08/01/2025","7,640","7,630","7,650","7,544","4,86M","-0,26%"
"07/01/2025","7,660","7,660","7,704","7,604","3,94M","-0,29%"
"06/01/2025","7,682","7,684","7,718","7,626","2,66M","-0,31%"
"03/01/2025","7,706","7,758","7,758","7,686","2,25M","-0,44%"
"02/01/2025","7,740","7,650","7,740","7,616","2,48M","1,57%"
"30/12/2024","7,620","7,592","7,650","7,586","2,26M","0,05%"
"27/12/2024","7,616","7,604","7,616","7,506","2,71M","0,03%"
"23/12/2024","7,614","7,594","7,648","7,560","2,04M","0,05%"
"20/12/2024","7,610","7,558","7,610","7,532","7,88M","0,48%"
"19/12/2024","7,574","7,604","7,624","7,496","6,16M","-0,68%"
"18/12/2024","7,626","7,672","7,704","7,610","3,52M","-0,83%"
"17/12/2024","7,690","7,662","7,710","7,642","4,28M","-0,13%"
"16/12/2024","7,700","7,698","7,718","7,646","2,66M","-0,21%"
"13/12/2024","7,716","7,746","7,746","7,676","3,78M","-0,26%"
"12/12/2024","7,736","7,750","7,788","7,736","2,55M","-0,23%"
"11/12/2024","7,754","7,784","7,822","7,750","3,55M","-0,46%"
"10/12/2024","7,790","7,772","7,812","7,756","2,68M","0,00%"
"09/12/2024","7,790","7,944","7,944","7,790","3,02M","-1,86%"
"06/12/2024","7,938","8,020","8,042","7,928","3,84M","-0,77%"
"05/12/2024","8,000","7,948","8,008","7,888","3,27M","0,81%"
"04/12/2024","7,936","7,920","7,982","7,908","4,63M","-0,30%"
"03/12/2024","7,960","7,890","7,964","7,856","4,69M","-0,03%"
"02/12/2024","7,962","7,986","8,046","7,920","3,32M","-0,57%"
"29/11/2024","8,008","8,000","8,038","7,970","2,93M","0,00%"
"28/11/2024","8,008","8,020","8,042","7,942","2,35M","-0,07%"
"27/11/2024","8,014","8,034","8,034","7,926","3,24M","-0,22%"
"26/11/2024","8,032","7,918","8,036","7,910","4,48M","0,90%"
"25/11/2024","7,960","7,970","7,986","7,914","8,87M","-0,13%"
"22/11/2024","7,970","7,798","7,970","7,776","3,88M","2,79%"
"21/11/2024","7,754","7,740","7,812","7,690","2,45M","-0,21%"
"20/11/2024","7,770","7,766","7,800","7,702","3,00M","0,28%"
"19/11/2024","7,748","7,760","7,820","7,676","3,64M","0,03%"
"18/11/2024","7,746","7,794","7,806","7,686","3,93M","-1,83%"
"15/11/2024","7,890","7,784","7,890","7,784","3,89M","0,79%"
"14/11/2024","7,828","7,700","7,828","7,650","3,63M","1,61%"
"13/11/2024","7,704","7,692","7,770","7,688","4,36M","-0,18%"
"12/11/2024","7,718","7,754","7,756","7,688","3,91M","-0,77%"
"11/11/2024","7,778","7,750","7,818","7,730","3,90M","0,52%"
"08/11/2024","7,738","7,720","7,794","7,626","7,73M","0,49%"
"07/11/2024","7,700","7,820","7,876","7,692","4,21M","-1,94%"
"06/11/2024","7,852","7,910","7,992","7,784","4,26M","-1,23%"
"05/11/2024","7,950","7,966","7,994","7,930","1,98M","0,30%"
"04/11/2024","7,926","7,980","8,054","7,926","2,09M","-0,95%"
"01/11/2024","8,002","7,946","8,052","7,946","2,15M","0,48%"
"31/10/2024","7,964","8,004","8,018","7,910","3,55M","-1,31%"
"30/10/2024","8,070","8,082","8,110","8,018","2,77M","-0,15%"
"29/10/2024","8,082","8,190","8,202","8,070","1,87M","-0,83%"
