Date,Close/Last,Volume,Open,High,Low
06/27/2025,$109.12,610573,$109.19,$109.83,$108.53
06/26/2025,$109.10,607316,$107.24,$109.13,$107.24
06/25/2025,$106.64,1494710,$106.48,$106.7507,$106.20
06/24/2025,$106.73,488146,$106.13,$106.98,$105.96
06/23/2025,$105.32,610181,$104.84,$105.38,$104.085
06/20/2025,$105.10,650950,$106.31,$106.31,$105.0401
06/18/2025,$106.25,397778,$106.34,$106.71,$105.89
06/17/2025,$106.21,417940,$106.70,$106.96,$106.063
06/16/2025,$106.93,447232,$107.72,$108.44,$106.85
06/13/2025,$106.95,396765,$107.60,$107.81,$106.88
06/12/2025,$108.37,299564,$108.14,$108.52,$107.93
06/11/2025,$107.74,348946,$107.97,$108.29,$107.6175
06/10/2025,$107.85,1371441,$108.17,$108.37,$107.57
06/09/2025,$108.05,317470,$107.33,$108.37,$107.33
06/06/2025,$108.29,398341,$108.79,$109.10,$108.135
06/05/2025,$108.31,386009,$108.75,$108.83,$108.13
06/04/2025,$108.19,432405,$107.92,$108.55,$107.66
06/03/2025,$107.79,492381,$107.60,$108.06,$107.42
06/02/2025,$107.86,352801,$107.29,$107.97,$106.87
05/30/2025,$107.35,461479,$107.06,$107.65,$106.86
05/29/2025,$106.98,951953,$107.37,$107.55,$106.08
05/28/2025,$106.29,1071631,$105.99,$108.38,$105.98
05/27/2025,$104.81,723285,$103.92,$105.06,$103.79
05/23/2025,$103.94,554398,$102.70,$104.57,$102.70
05/22/2025,$103.64,346203,$103.77,$103.99,$102.84
05/21/2025,$103.38,610463,$103.35,$103.74,$102.96
05/20/2025,$103.53,558514,$103.47,$103.91,$103.35
05/19/2025,$103.49,281172,$103.03,$103.8601,$102.685
05/16/2025,$103.49,1555425,$103.03,$103.8601,$102.685
05/15/2025,$102.80,445003,$102.04,$102.96,$101.46
05/14/2025,$102.45,520598,$102.00,$102.47,$101.81
05/13/2025,$101.87,370146,$101.62,$102.00,$100.75
05/12/2025,$101.46,583821,$101.20,$102.12,$101.04
05/09/2025,$99.58,386142,$99.60,$99.70,$99.19
05/08/2025,$99.13,671218,$98.09,$99.47,$98.09
05/07/2025,$98.04,445401,$98.00,$98.665,$97.88
05/06/2025,$98.03,487428,$97.95,$98.28,$97.52
05/05/2025,$97.81,466411,$97.235,$98.23,$97.00
05/02/2025,$97.63,450296,$97.60,$97.92,$97.20
05/01/2025,$96.32,509054,$95.16,$96.83,$95.04
04/30/2025,$95.48,634605,$94.80,$95.87,$93.77
04/29/2025,$95.24,562800,$94.39,$95.32,$93.925
04/28/2025,$95.88,2059814,$95.38,$95.94,$95.15
04/25/2025,$95.01,1970738,$95.52,$95.75,$94.64
04/24/2025,$95.43,408591,$94.57,$95.54,$94.33
04/23/2025,$94.12,745614,$95.72,$96.05,$93.65
04/22/2025,$94.10,2597184,$93.14,$94.34,$92.94
04/21/2025,$92.30,371968,$93.31,$93.39,$91.74
04/17/2025,$93.43,439280,$93.20,$93.6943,$92.31
04/16/2025,$92.84,663648,$92.69,$93.265,$91.77
04/15/2025,$92.69,513132,$92.89,$93.50,$92.26
04/14/2025,$92.20,517183,$92.43,$92.63,$91.33
04/11/2025,$91.14,910160,$89.59,$91.53,$89.55
04/10/2025,$88.98,1012563,$90.92,$91.08,$87.61
04/09/2025,$91.72,1329882,$86.92,$92.10,$85.52
04/08/2025,$87.54,945754,$90.88,$91.21,$86.87
04/07/2025,$88.12,1113861,$85.51,$90.63,$85.40
04/04/2025,$89.21,1636571,$92.95,$93.34,$88.58
04/03/2025,$96.05,1104640,$96.00,$97.975,$95.97
04/02/2025,$97.54,557993,$95.73,$97.785,$95.32
04/01/2025,$96.43,432131,$95.33,$96.85,$94.49
03/31/2025,$95.51,535815,$94.30,$95.915,$93.41
03/28/2025,$95.27,588322,$96.69,$97.04,$95.18
03/27/2025,$97.03,266378,$97.40,$97.50,$96.61
03/26/2025,$97.58,320761,$98.56,$98.89,$97.13
03/25/2025,$98.15,452917,$98.15,$98.69,$97.90
