Date,Close/Last,Volume,Open,High,Low
06/27/2025,$40.47,782141,$41.05,$41.05,$40.07
06/26/2025,$40.69,892060,$39.72,$40.895,$39.48
06/25/2025,$39.40,653117,$39.81,$39.945,$39.10
06/24/2025,$39.90,979226,$39.20,$40.085,$38.93
06/23/2025,$38.78,595912,$38.22,$38.835,$38.01
06/20/2025,$38.50,1380383,$39.84,$39.855,$37.99
06/18/2025,$39.79,792391,$40.09,$40.56,$39.70
06/17/2025,$39.92,532506,$40.80,$40.89,$39.83
06/16/2025,$41.08,721781,$40.89,$41.29,$40.42
06/13/2025,$40.32,786986,$42.15,$42.315,$40.10
06/12/2025,$42.87,1149663,$41.82,$43.25,$41.405
06/11/2025,$42.39,848220,$43.00,$43.15,$42.04
06/10/2025,$42.70,1159852,$41.34,$43.25,$40.9925
06/09/2025,$40.76,663315,$41.07,$41.07,$40.0001
06/06/2025,$40.61,707399,$40.63,$41.355,$40.155
06/05/2025,$40.15,715302,$40.65,$40.65,$39.47
06/04/2025,$40.66,560675,$40.95,$41.085,$40.66
06/03/2025,$40.88,644316,$40.07,$41.15,$39.70
06/02/2025,$40.23,739817,$41.11,$41.22,$40.15
05/30/2025,$41.95,1879266,$42.10,$42.29,$41.495
05/29/2025,$42.48,714496,$42.24,$42.50,$41.72
05/28/2025,$41.90,635612,$42.55,$42.74,$41.78
05/27/2025,$42.81,496680,$42.69,$42.90,$42.06
05/23/2025,$42.07,578535,$42.07,$42.74,$41.8596
05/22/2025,$43.03,668573,$42.66,$43.325,$42.29
05/21/2025,$42.72,856332,$43.13,$43.535,$42.58
05/20/2025,$43.88,604295,$44.01,$44.35,$43.64
05/19/2025,$43.97,486155,$43.41,$44.05,$43.27
05/16/2025,$43.97,1784826,$43.38,$44.28,$43.2525
05/15/2025,$43.34,593381,$42.80,$43.35,$42.4635
05/14/2025,$42.98,941994,$43.59,$43.59,$42.89
05/13/2025,$43.81,608382,$44.16,$44.228,$43.23
05/12/2025,$44.18,774322,$43.41,$44.30,$43.039
05/09/2025,$41.39,669413,$41.72,$41.98,$41.14
05/08/2025,$41.41,1006210,$39.00,$41.625,$38.95
05/07/2025,$38.37,1114616,$39.40,$39.415,$38.10
05/06/2025,$38.85,1371191,$40.35,$40.58,$38.66
05/05/2025,$40.77,1324498,$40.95,$42.83,$40.72
05/02/2025,$44.25,1057153,$43.39,$44.51,$43.15
05/01/2025,$42.72,1245966,$42.87,$43.82,$42.59
04/30/2025,$43.07,1789788,$42.37,$43.17,$41.79
04/29/2025,$42.56,1253414,$41.96,$42.60,$41.35
04/28/2025,$42.30,864250,$42.56,$42.94,$41.45
04/25/2025,$42.43,854139,$41.50,$42.54,$40.925
04/24/2025,$41.88,1335601,$42.01,$42.33,$41.20
04/23/2025,$42.27,1483514,$44.00,$44.25,$41.87
04/22/2025,$42.86,1553551,$40.25,$42.89,$40.244
04/21/2025,$39.97,2250555,$39.91,$40.665,$39.2199
04/17/2025,$40.07,2955669,$43.82,$45.40,$39.87
04/16/2025,$49.51,1120775,$50.45,$50.93,$49.12
04/15/2025,$50.34,752089,$51.28,$51.765,$49.86
04/14/2025,$51.72,678194,$52.03,$52.38,$50.90
04/11/2025,$51.10,698058,$50.95,$51.12,$49.11
04/10/2025,$50.75,865705,$50.77,$51.89,$48.72
04/09/2025,$52.87,970749,$47.74,$53.30,$47.29
04/08/2025,$48.72,881876,$50.76,$51.17,$48.315
04/07/2025,$49.38,1042120,$50.36,$52.255,$48.1509
04/04/2025,$52.19,832794,$52.71,$52.79,$51.12
04/03/2025,$54.62,1378792,$57.35,$57.485,$54.58
04/02/2025,$58.77,603315,$58.19,$59.01,$57.80
04/01/2025,$58.65,530418,$58.03,$58.66,$57.62
03/31/2025,$57.88,510367,$58.15,$58.23,$57.45
03/28/2025,$58.66,450078,$58.99,$59.23,$58.205
03/27/2025,$59.34,526598,$58.71,$59.54,$58.35
03/26/2025,$58.58,472998,$57.99,$59.00,$57.59
03/25/2025,$57.82,554725,$58.57,$58.88,$57.64
03/24/2025,$58.51,550623,$58.21,$59.11,$57.97
03/21/2025,$57.68,1525958,$58.71,$58.76,$57.10
03/20/2025,$59.07,790651,$59.91,$60.45,$58.71
03/19/2025,$60.35,582133,$60.74,$61.09,$59.58
03/18/2025,$60.71,646333,$60.04,$60.985,$59.91
03/17/2025,$60.03,687412,$60.47,$61.31,$59.845
03/14/2025,$60.22,905071,$58.86,$60.54,$58.73
03/13/2025,$58.48,632003,$58.58,$59.965,$58.00
03/12/2025,$58.62,704111,$59.56,$60.4687,$58.16
03/11/2025,$59.89,952904,$61.49,$61.58,$59.75
03/10/2025,$61.18,1114132,$62.53,$63.345,$61.11
03/07/2025,$62.66,1601232,$61.63,$63.34,$61.59
03/06/2025,$62.02,1740312,$58.34,$62.44,$58.185
03/05/2025,$58.61,1233687,$57.66,$59.42,$57.55
03/04/2025,$57.35,1167549,$57.08,$58.32,$56.72
03/03/2025,$57.55,1131706,$57.76,$58.49,$57.13
02/28/2025,$57.63,1394388,$55.62,$57.86,$55.55
02/27/2025,$55.83,978420,$56.68,$56.68,$55.645
02/26/2025,$57.03,1254269,$54.88,$58.16,$54.835
02/25/2025,$54.61,385327,$54.62,$55.0099,$54.43
02/24/2025,$54.31,612745,$53.84,$54.49,$53.31
02/21/2025,$53.77,722270,$55.15,$55.1667,$53.67
02/20/2025,$54.95,409452,$54.91,$55.40,$54.85
02/19/2025,$54.96,524908,$54.14,$55.20,$53.71
02/18/2025,$54.64,547767,$55.24,$55.29,$54.08
02/14/2025,$55.24,547267,$55.63,$56.0534,$55.035
02/13/2025,$55.19,413617,$55.76,$55.9899,$55.10
02/12/2025,$55.30,646517,$55.77,$55.90,$55.10
02/11/2025,$56.39,716458,$55.50,$56.46,$55.45
02/10/2025,$55.69,942649,$57.67,$57.73,$55.44
02/07/2025,$57.05,523551,$57.12,$57.195,$56.48
02/06/2025,$57.06,583370,$58.50,$58.70,$57.04
02/05/2025,$58.19,566088,$59.13,$59.204,$57.89
02/04/2025,$58.99,807151,$58.40,$59.38,$58.29
02/03/2025,$58.44,968460,$59.04,$59.70,$57.45
01/31/2025,$60.22,2041803,$60.25,$60.95,$59.53
01/30/2025,$60.71,1530072,$60.60,$61.7936,$58.685
01/29/2025,$60.38,1012908,$60.21,$60.735,$59.97
01/28/2025,$60.23,659326,$60.71,$61.47,$59.63
01/27/2025,$60.81,923164,$60.70,$61.41,$60.04
01/24/2025,$60.39,596741,$60.67,$60.86,$60.02
01/23/2025,$60.85,560241,$60.31,$60.99,$60.005
01/22/2025,$60.24,520436,$60.47,$60.97,$59.985
01/21/2025,$60.74,648710,$60.41,$61.27,$60.39
01/17/2025,$59.54,473369,$59.95,$60.155,$59.32
01/16/2025,$59.34,647350,$58.51,$59.41,$58.375
01/15/2025,$59.02,709451,$58.80,$59.49,$58.15
01/14/2025,$57.41,472386,$56.87,$57.58,$56.15
01/13/2025,$56.28,1002526,$54.24,$56.31,$53.73
01/10/2025,$54.52,582463,$54.48,$54.90,$53.70
01/08/2025,$55.35,633204,$55.93,$55.93,$54.875
01/07/2025,$56.58,761067,$56.92,$57.47,$56.32
01/06/2025,$56.64,528100,$57.73,$58.10,$56.395
01/03/2025,$57.71,473525,$56.64,$57.85,$56.31
01/02/2025,$57.04,579804,$57.93,$58.52,$56.795
12/31/2024,$57.72,703827,$57.03,$57.855,$56.48
12/30/2024,$56.83,785980,$56.91,$57.26,$56.11
12/27/2024,$57.19,397206,$57.51,$58.1655,$56.94
12/26/2024,$57.65,660331,$56.60,$57.95,$56.60
12/24/2024,$56.98,243584,$56.86,$57.29,$56.67
12/23/2024,$56.82,709464,$56.83,$57.90,$56.46
12/20/2024,$56.94,3400342,$56.25,$57.74,$55.87
12/19/2024,$56.90,806033,$57.28,$57.67,$56.28
12/18/2024,$57.20,656123,$59.05,$59.59,$57.04
12/17/2024,$59.00,602476,$58.84,$59.67,$58.74
12/16/2024,$59.36,611901,$60.46,$61.18,$59.32
12/13/2024,$61.18,594918,$60.65,$61.21,$59.87
12/12/2024,$60.84,796880,$60.94,$61.16,$59.955
12/11/2024,$61.00,868445,$61.95,$62.195,$60.78
12/10/2024,$61.90,599301,$62.19,$62.535,$61.24
12/09/2024,$62.32,893080,$61.83,$62.84,$60.96
12/06/2024,$61.36,588598,$62.84,$62.97,$60.9739
12/05/2024,$62.22,558273,$62.61,$62.77,$61.76
12/04/2024,$62.75,678844,$62.22,$63.26,$62.02
12/03/2024,$62.35,489112,$63.20,$63.20,$62.28
12/02/2024,$63.20,774920,$62.96,$63.88,$62.56
11/29/2024,$64.37,299297,$64.40,$64.816,$63.87
11/27/2024,$64.56,403389,$64.72,$65.10,$64.14
