Date,Close/Last,Volume,Open,High,Low
06/27/2025,$65.93,628832,$65.45,$66.56,$65.44
06/26/2025,$65.43,497486,$65.09,$65.51,$65.09
06/25/2025,$64.90,693900,$64.97,$65.12,$64.44
06/24/2025,$65.10,402425,$65.26,$65.44,$64.89
06/23/2025,$64.82,407272,$63.85,$64.889,$63.77
06/20/2025,$64.10,671860,$64.12,$64.31,$63.77
06/18/2025,$64.07,300852,$64.41,$64.645,$64.005
06/17/2025,$64.25,302502,$64.62,$64.645,$63.81
06/16/2025,$64.70,358778,$64.59,$65.25,$64.51
06/13/2025,$64.31,499266,$64.58,$64.82,$64.19
06/12/2025,$64.98,243420,$64.78,$64.99,$64.36
06/11/2025,$64.70,459700,$64.95,$65.01,$64.495
06/10/2025,$64.72,517518,$64.91,$65.06,$64.61
06/09/2025,$65.06,803050,$65.09,$65.25,$64.53
06/06/2025,$65.29,494560,$65.29,$65.56,$64.99
06/05/2025,$65.23,641474,$65.05,$65.28,$64.825
06/04/2025,$64.81,456823,$65.04,$65.06,$64.52
06/03/2025,$64.91,526063,$64.78,$65.27,$64.30
06/02/2025,$65.17,925094,$64.65,$65.28,$64.05
05/30/2025,$64.65,1476278,$64.15,$65.11,$64.15
05/29/2025,$64.11,641448,$64.23,$64.42,$63.8901
05/28/2025,$63.76,527025,$63.45,$64.04,$63.18
05/27/2025,$64.29,552536,$64.41,$64.63,$63.96
05/23/2025,$63.63,5005130,$62.79,$63.925,$62.79
05/22/2025,$63.11,284412,$63.13,$63.585,$62.85
05/21/2025,$63.11,366608,$63.62,$63.65,$62.92
05/20/2025,$63.47,337417,$63.24,$63.78,$63.00
05/19/2025,$63.20,158361,$62.75,$63.365,$62.74
05/16/2025,$62.92,3796174,$63.12,$63.39,$62.72
05/15/2025,$63.12,502002,$62.97,$63.32,$62.78
05/14/2025,$62.97,783290,$62.37,$63.03,$61.845
05/13/2025,$62.42,272520,$62.51,$63.00,$62.32
05/12/2025,$62.46,455316,$62.91,$63.20,$62.08
05/09/2025,$62.14,938072,$61.06,$63.34,$60.51
